subject,bodymass,height
1,70.48922587,169.5445179
2,41.28562313,154.8020718
3,46.64082048,144.157912
4,114.1304643,200.8274581
5,41.19526268,129.2605872
6,73.32440095,176.6315868
7,76.37649237,179.3623884
8,74.27922536,173.7530599
9,60.38925603,145.6224555
10,80.19249609,171.1291107
11,76.60459759,174.3910783
12,47.26241571,150.4624008
13,54.76672233,137.1979312
14,114.2865191,191.4525089
15,46.38509519,134.0914481
16,71.44227388,174.0624334
17,78.15467905,179.0474027
18,81.47843048,177.2251546
19,48.66675835,148.6540205
20,74.25151167,179.5011994
21,78.52749993,174.8674321
22,47.17444712,156.7743962
23,49.36265142,130.5759077
24,109.349069,193.9116985
25,35.93949863,139.2674601
26,72.30488204,171.6128384
27,76.66560539,172.3864658
28,63.04433589,167.5902386
29,65.40768744,155.0572006
30,80.47067309,169.933515
31,81.8079706,182.0517397
32,48.67782254,152.2854668
33,55.9456179,141.9370122
34,110.55692,192.9679472
35,41.56185241,131.3042726
36,71.72362913,178.260595
37,79.19198317,174.4647809
38,69.41697161,160.7119657
39,65.20550335,149.6146011
40,72.92553389,171.7223334
41,80.45396524,168.5736123
42,55.71366151,152.4342461
43,44.7738386,138.8247538
44,110.719021,188.6515131
45,41.62304835,135.4372722
46,69.03658421,186.6567586
47,82.07994841,176.8404208
48,74.77224192,173.974356
49,55.67842007,146.5479038
50,77.0436939,180.4587607
51,81.16957613,179.3174605
52,40.55697861,144.5293584
53,53.55255665,137.316115
54,106.2347754,194.5486633
55,40.44195945,135.5021965
56,70.40609065,179.3397547
57,76.00922673,177.1221205
58,87.4828745,169.7298525
59,63.68870889,147.2129221
60,66.89174503,172.5713078
61,78.3287075,174.8992019
62,51.64645425,147.8819771
63,59.43750731,143.7669516
64,106.6029475,201.2101357
65,37.67048872,132.7615741
66,64.9564215,180.3468995
67,80.01772921,192.9267636
68,67.41138609,170.0523515
69,61.217745,158.2097562
70,78.10220787,175.8828198
71,79.02896927,175.3466097
72,43.93869772,163.6237272
73,52.37076485,135.796847
74,115.8546681,199.0427367
75,46.35657534,128.712399
76,71.68312431,171.5052044
77,73.29831437,186.6244428
78,76.9935674,174.418609
79,59.49210639,149.3573202
80,79.63289824,171.6069101
81,87.67971856,174.8942335
82,46.14761291,156.7233603
83,58.11744171,135.6781777
84,108.6146482,197.6423584
85,37.9021924,129.9172865
86,77.75105548,171.8201351
87,77.99807471,182.9767536
88,83.31878412,164.70058
89,67.96233509,157.3829204
90,72.96130557,175.5910258
91,74.75682741,177.3974765
92,46.71056554,158.9220543
93,45.65245052,137.6881808
94,103.8017974,191.104522
95,48.88523366,141.2649381
96,72.74142915,173.362414
97,84.7140045,186.915781
98,82.11097048,167.4098062
99,65.36703877,152.8873416
100,76.09462412,164.3888582
